rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
448,Josef Martínez,ve VEN,FW,Columbus Crew,33.0,1993.0,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Thiago Martins,br BRA,DF,NYCFC,31.0,1995.0,17,17,1505,16.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Joyeux Masanka Bungi,be BEL,DF,RB New York,19.0,2007.0,2,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
451,Alexandru Mățan,ro ROU,FWMF,St. Louis City,26.0,1999.0,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Jimmy Maurer,us USA,GK,Houston,37.0,1988.0,1,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
453,Eric Maxim Choupo-Moting,cm CMR,FW,RB New York,37.0,1989.0,11,1,188,2.1,2,0,2,1,1,1,0,0,0.96,0.0,0.96,0.48,0.48,0.48,0.48,0.48,0.0,0.0
454,Youssef Maziz,fr FRA,FWMF,Colorado Rapids,28.0,1998.0,1,0,35,0.4,0,1,1,0,0,0,0,0,0.0,2.57,2.57,0.0,2.57,0.0,0.0,0.0,0.0,0.0
455,Olivier Mbaizo,cm CMR,DF,Philadelphia,29.0,1997.0,1,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Mbekezeli Mbokazi,za RSA,DF,Chicago Fire,20.0,2005.0,12,12,1048,11.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
457,Kenji Mboma Dem,fr FRA,FWMF,FC Cincinnati,24.0,2002.0,16,11,854,9.5,4,1,5,4,0,0,0,0,0.42,0.11,0.53,0.42,0.53,0.42,0.0,0.0,0.0,0.0
